id,passageId,skillId,questionTypeId,"question","potentialAnswers","correctAnswers",atLeast,difficulty,disabled,"rationale","updatedAt","createdAt",commonCoreId
2003,266,1,4,"What could possibly go wrong with the slide covered in butter? Select all that apply.","[\"Kids might go too fast down the slide.\", \"Kids might get stuck at the top of the slide.\", \"Kids might scrape their knees on the butter.\", \"Kids might get hurt.\", \"Kids might slip off of the slide.\"]","[\"Kids might go too fast down the slide.\", \"Kids might get hurt.\", \"Kids might slip off of the slide.\"]",NULL,2,0,NULL,"2019-09-23 20:21:44","2019-03-20 20:03:16",101
2004,266,8,1,"Why do you think the kids used butter to help them go faster?","[\"Because butter is tasty\", \"Because butter is soft\", \"Because butter is slippery\", \"Because butter is light\"]","[\"Because butter is slippery\"]",NULL,2,0,NULL,"2019-09-23 20:20:44","2019-03-20 20:03:16",101
2005,267,13,1,"Justin asks what is the \"worst\" thing that can happen. The word \"worse\" is to \"worst\" as \"better is to \"______.\"","[\"Best\", \"Good\", \"Worst\", \"Worse\"]","[\"Best\"]",NULL,2,0,NULL,"2019-09-23 20:34:33","2019-03-20 20:03:16",100
2006,267,5,4,"Which traits best describe Justin? Select all that apply.","[\"Curious\", \"Cowardly\", \"Disobedient\", \"Adventurous\"]","[\"Curious\", \"Disobedient\", \"Adventurous\"]",NULL,2,0,NULL,"2019-09-23 20:40:59","2019-03-20 20:03:16",103
2007,267,26,1,"What is the main character's name?","[\"John\", \"Jimmy\", \"Justin\", \"Joe\"]","[\"Justin\"]",NULL,2,0,NULL,"2019-09-23 20:34:54","2019-03-20 20:03:16",102
2008,267,14,1,"This passage is written to:","[\"Convince you of something\", \"Entertain you\", \"Inform you about something\"]","[\"Entertain you\"]",NULL,2,0,NULL,"2019-09-23 20:35:49","2019-03-20 20:03:16",101
2009,267,1,1,"What do you think will most likely happen when Justin pushes the button?","[\"Something bad\", \"Something good\", \"Nothing will happen\"]","[\"Something bad\"]",NULL,2,0,NULL,"2019-09-23 20:37:56","2019-03-20 20:03:16",107
2010,267,8,1,"Why do you think the sign is written in capital letters, with an exclamation point at the end?","[\"To go with the rest of the writing in the spaceship.\", \"To make it harder for outsiders to read.\", \"To show that someone is yelling.\", \"To show that it is very important, or to get people's attention.\"]","[\"To show that it is very important, or to get people's attention.\"]",NULL,2,0,NULL,"2019-09-23 20:40:19","2019-03-20 20:03:16",107
2011,269,20,1,"What color are Peppito's pants?","[\"Red\", \"Yellow\", \"Pink\", \"Blue\", \"White\", \"Green\"]","[\"Pink\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-03-20 20:03:16",NULL
2012,269,8,1,"Why does Peppito think he needs new pants?","[\"The ones he has are too old and worn.\", \"The color of the ones he has is inappropriate for a lawyer.\", \"The ones he has are dirty.\", \"The ones he has are too small for him now.\"]","[\"The color of the ones he has is inappropriate for a lawyer.\"]",NULL,5,0,NULL,"2019-08-01 14:34:17","2019-03-20 20:03:16",NULL
2013,269,5,1,"Based on the passage, which adjective best describes Peppito?","[\"Ambitious\", \"Considerate\", \"Empathetic\", \"Generous\"]","[\"Ambitious\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-03-20 20:03:16",NULL
2014,269,11,4,"What questions might the reader of this story ask themselves? Select all that apply.","[\"Why does Peppito think he needs a new outfit?\", \"How can a puppet become a lawyer?\", \"Why does Peppito want to be a lawyer?\", \"What outfit will Peppito wear to become a lawyer?\"]","[\"Why does Peppito think he needs a new outfit?\", \"How can a puppet become a lawyer?\", \"Why does Peppito want to be a lawyer?\", \"What outfit will Peppito wear to become a lawyer?\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-03-20 20:03:16",NULL
2015,268,20,1,"What kind of instrument does the camel play?","[\"Piano\", \"Guitar\", \"Trumpet\", \"Drums\"]","[\"Trumpet\"]",NULL,2,0,NULL,"2019-09-23 20:46:31","2019-03-20 20:03:16",102
2016,268,48,1,"Which technique is used most often in this passage?","[\"Alliteration\", \"Repetition\", \"Metaphor\", \"Rhyme\"]","[\"Rhyme\"]",NULL,3,0,NULL,"2019-09-23 20:47:17","2019-03-20 20:03:16",104
2017,376,13,1,"Which of the following is the best synonym for \"sly\"?","[\"Clever\", \"Genius\", \"Tricky\", \"Cute\"]","[\"Tricky\"]",NULL,4,0,NULL,"2019-11-20 18:57:20","2019-03-20 20:03:16",NULL
2018,376,8,1,"Why do you think the fox wants the rabbit to come back to his den?","[\"To give her a new carrot.\", \"To become her friend.\", \"To eat her.\", \"To put on a play for her.\"]","[\"To eat her.\"]",NULL,3,0,NULL,"2019-11-20 18:57:20","2019-03-20 20:03:16",NULL
2019,376,2,1,"Based on the passage, which setting would NOT make sense for this story?","[\"A forest\", \"In space\", \"In a cottage yard\", \"In a field\"]","[\"In space\"]",NULL,3,0,NULL,"2019-10-28 14:32:04","2019-03-20 20:03:16",19
2020,376,11,4,"Which questions would the reader be able to answer after reading this passage? Select all that apply.","[\"Where does the fox want the rabbit to go?\", \"What was the rabbit eating while speaking to the fox?\", \"What kind of smile did the fox have?\", \"Will the rabbit go to the fox's den?\"]","[\"Where does the fox want the rabbit to go?\", \"What was the rabbit eating while speaking to the fox?\", \"What kind of smile did the fox have?\"]",NULL,3,0,NULL,"2019-10-28 14:37:48","2019-03-20 20:03:16",2
2021,271,36,1,"Reread this phrase: \"No tree in their right root!\" Which of the following phrases is that line most likely based on?","[\"\\\"I'll be bark.\\\"\", \"\\\"One small step for trees, one giant leap for tree kind.\\\"\", \"\\\"No one has a root!\\\"\", \"\\\"No one in their right mind!\\\"\"]","[\"\\\"No one in their right mind!\\\"\"]",NULL,1,0,NULL,"2019-09-23 17:05:56","2019-03-20 20:03:16",83
2022,271,13,1,"The title of this passage contains the word \"disdainful\". Based on the passage, what do you think the word \"disdainful\" means?","[\"Showing a lack of respect\", \"Stained glass\", \"Half full\", \"Very tall\"]","[\"Showing a lack of respect\"]",NULL,2,0,NULL,"2019-11-11 15:40:23","2019-03-20 20:03:16",16
2023,271,3,1,"Choose the correct word to finish this sentence from the passage: \"The great oak tree looked down at the small wizard in his pointy _____.\"","[\"Hoodie\", \"Hat\", \"Boots\", \"Cloak\"]","[\"Hat\"]",NULL,1,0,NULL,"2019-09-23 17:13:49","2019-03-20 20:03:16",96
2024,271,2,1,"What is the most likely setting for this passage?","[\"A city\", \"A forest\", \"A desert\", \"A clearing\"]","[\"A forest\"]",NULL,1,0,NULL,"2019-09-23 17:14:48","2019-03-20 20:03:16",85
2025,271,8,1,"What do you think happened in the story right before this scene?","[\"The wizard insulted the tree.\", \"The tree insulted the wizard.\", \"The tree offered the wizard a deal.\", \"The wizard offered the tree a deal.\"]","[\"The wizard offered the tree a deal.\"]",NULL,2,0,NULL,"2019-09-23 17:17:38","2019-03-20 20:03:16",101
2026,272,4,1,"Who is the subject of this passage?","[\"A flamingo crab\", \"A flamingo mermaid\", \"A flamingo shrimp\", \"A flamingo human\"]","[\"A flamingo mermaid\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2027,272,8,1,"True or false: Flamingo mermaids are very common in the world of the story.","[\"True\", \"False\"]","[\"False\"]",NULL,5,0,NULL,"2019-08-01 14:34:17","2019-03-20 20:03:16",NULL
2028,272,10,1,"The title of this passage provides a hint about: ","[\"The problem\", \"The setting\", \"A character\", \"None of the above\"]","[\"A character\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-03-20 20:03:16",NULL
2029,272,2,1,"Based on the details within the text, which setting is the most likely?","[\"A beach\", \"A spaceship\", \"A rainforest\", \"A tent\"]","[\"A beach\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2030,270,8,1,"Why did all the birds fly into the sky?","[\"Because they heard a loud sound.\", \"Because a larger bird scared them.\", \"Because Layla cast a spell.\", \"Because they were migrating.\"]","[\"Because Layla cast a spell.\"]",NULL,5,0,NULL,"2019-08-01 14:34:17","2019-03-20 20:03:16",NULL
2031,270,8,1,"Where do you think the birds were before they flew into the sky?","[\"Sitting in trees\", \"Swimming in a river\", \"Flying through the sky\", \"In cages\"]","[\"Sitting in trees\"]",NULL,5,0,NULL,"2019-08-01 14:34:17","2019-03-20 20:03:16",NULL
2032,270,14,1,"This passage was most likely written to be:","[\"Persuasive\", \"Entertaining\", \"Informative\"]","[\"Entertaining\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
2033,317,3,1,"Who is the main character in this story?","[\"Kaitlyn\", \"Miranda\", \"Vanessa\", \"Rocket\"]","[\"Miranda\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2034,317,20,1,"How much time is left in the end of the game when this passage begins? ","[\"Two and a half minutes\", \"Three and a half minutes\", \"Two minutes\", \"Three minutes\"]","[\"Three minutes\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
2035,317,13,1,"Reread this sentence: \"Some were munching hot dogs.\" What is the best synonym for \"munching\" as it is used here?","[\"Buying\", \"Licking\", \"Eating\", \"Cooking\"]","[\"Eating\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2036,317,10,4,"Which other stories could this title also correctly belong to? Select all that apply.","[\"A story about end of year tests or exams.\", \"A story about someone's first dance class.\", \"A story about a basketball competition's championship game.\", \"A story about a debate competition last match.\"]","[\"A story about end of year tests or exams.\", \"A story about a basketball competition's championship game.\", \"A story about a debate competition last match.\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
2037,317,1,4,"How do you think the Rockets felt at the end of the passage? Select all that apply.","[\"Happy\", \"Sad\", \"Frustrated\", \"Angry\", \"Excited\", \"Tired\"]","[\"Sad\", \"Frustrated\", \"Angry\", \"Tired\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2038,317,51,1,"Reread this sentence: \"They flowed together like water.\" Which type of figurative language is used here?","[\"Idiom\", \"Simile\", \"Oxymoron\", \"Metaphor\"]","[\"Simile\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2039,317,14,1,"This passage was most likely written to be:","[\"Persuasive\", \"Informative\", \"Entertaining\"]","[\"Entertaining\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
2040,317,6,1,"This passage is an example of realistic fiction because:","[\"The author describes imaginative events.\", \"The story is based on possible real situations.\", \"The characters of the story are not human beings.\", \"The players have magic powers that let them flow together like water.\"]","[\"The story is based on possible real situations.\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
2041,312,1,1,"What do you think Klara will most likely do next?","[\"Go back home.\", \"Ignore the hut and keep collecting flowers.\", \"Stare at the hut from across the stream.\", \"Go over and investigate the hut.\"]","[\"Go over and investigate the hut.\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
2042,312,20,1,"Choose the correct word to complete the sentence from the passage: \"Klara wanted to put every color of the _____ in that jar.\"","[\"Sea\", \"Sky\", \"Nature\", \"Rainbow\"]","[\"Rainbow\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
2043,312,5,1,"How does Klara most feel about the hut at the end of the passage?","[\"Annoyed\", \"Curious\", \"Angry\", \"Happy\", \"\"]","[\"Curious\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
2044,312,8,1,"True or false: Klara likes collecting flowers.","[\"True\", \"False\"]","[\"True\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
2045,312,20,4,"Which of the following names were NOT given to the flowers? Select all that apply.","[\"Belinda\", \"Tamara\", \"Samara\", \"Melinda\", \"Bigsby\", \"Ribsy\"]","[\"Belinda\", \"Samara\", \"Ribsy\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
2046,312,11,1,"Which question CANNOT be answered by reading this passage?","[\"How old is Klara?\", \"Where does Klara put the flowers she picks?\", \"What is the setting of this passage?\", \"What are the names of Klara's flowers?\"]","[\"How old is Klara?\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
2047,312,13,4,"Which of the following words are synonyms for \"hut\"? Select all that apply.","[\"Cabin\", \"Mansion\", \"Shack\", \"Apartment\"]","[\"Cabin\", \"Shack\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2048,312,2,1,"What is the most likely setting for this passage?","[\"A forest\", \"The countryside\", \"A city\", \"A desert\"]","[\"The countryside\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2049,299,1,4,"How do you think Mrs. McGee would react to finding paper planes in her hair? Select all that apply.","[\"She would give Jerry and Dino a hug.\", \"She would be surprised.\", \"She would just go back to work.\", \"She would be angry at Jerry and Dino.\"]","[\"She would be surprised.\", \"She would be angry at Jerry and Dino.\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
2050,299,2,1,"Based on the details within the text, which setting would NOT make sense?","[\"A classroom\", \"A school yard\", \"An airport\", \"A science class\"]","[\"An airport\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
2051,299,20,1,"Choose the correct word to complete this sentence: \"Mrs. McGee still had a few planes stuck in her ____ hair from their last try.\"","[\"Golden\", \"Curly\", \"Bushy\", \"Frizzy\"]","[\"Bushy\"]",NULL,3,0,NULL,"2020-02-24 01:30:09","2019-03-20 20:03:16",5
2052,299,3,1,"What is the main idea of this passage? ","[\"Jerry and Dino are students in Mrs. McGee's class.\", \"Jerry and Dino are practicing for a paper airplane contest.\", \"Jerry and Dino really like paper airplanes.\", \"Working together is the key to success.\"]","[\"Jerry and Dino are practicing for a paper airplane contest.\"]",NULL,3,0,NULL,"2020-02-24 01:34:05","2019-03-20 20:03:16",2
2053,299,6,1,"This passage is an example of which genre?","[\"Nonfiction\", \"Fantasy\", \"Realistic Fiction\", \"Mystery\"]","[\"Realistic Fiction\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2054,299,8,1,"True or false: Dino and Jerry are determined to win the contest. ","[\"True\", \"False\"]","[\"True\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
2055,299,10,1,"Which of the following would be the best alternate title for this passage? ","[\"Goofing Off In Class\", \"The Contest\", \"Mrs. McGee's Bushy Hair\", \"Paper Lanterns\"]","[\"The Contest\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2056,299,20,1,"What didn't Mrs.McGee know that \"couldn't hurt her\"?","[\"About the contest\", \"About the planes in her hair\", \"About the fact that her students were bored\", \"About her bushy hair\"]","[\"About the planes in her hair\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2057,299,8,1,"How did the planes get stuck in Mrs. McGee's hair?","[\"They fell from the ceiling.\", \"Mrs. McGee put them there on purpose.\", \"Mrs. McGee threw them.\", \"Jerry and Dino threw them.\"]","[\"They fell from the ceiling.\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2058,297,7,1,"What lesson for real friendship can be learned by reading \"Sharing Gum\"?","[\"Everyone should eat gum.\", \"You should always keep things for yourself.\", \"It's good to share your things with others.\", \"Don't keep secrets from your friends.\"]","[\"It's good to share your things with others.\"]",NULL,2,0,NULL,"2019-09-24 14:11:56","2019-03-20 20:03:16",102
2059,297,1,1,"What do you think John's reaction would be to Mindy's offer?","[\"Hunger\", \"Disgust\", \"Gratitude\", \"Amazement\"]","[\"Disgust\"]",NULL,2,0,NULL,"2019-09-24 14:13:08","2019-03-20 20:03:16",107
2060,297,8,4,"How do you think John feels when all of his gum is taken? Select all that apply.","[\"He is happy because he shared with his friends.\", \"He is angry because there isn't any left.\", \"He is sad because his friends did not think about him.\"]","[\"He is happy because he shared with his friends.\", \"He is angry because there isn't any left.\", \"He is sad because his friends did not think about him.\"]",NULL,2,0,NULL,"2019-09-24 14:30:46","2019-03-20 20:03:16",103
2061,297,3,1,"Why did Steven want gum?","[\"Because everyone else was having some.\", \"Because mint is his favorite flavor.\", \"Because without it he would bite his nails.\", \"Because he had bad breath.\"]","[\"Because he had bad breath.\"]",NULL,2,0,NULL,"2019-09-24 14:27:29","2019-03-20 20:03:16",103
2062,297,14,1,"Why did the author most likely write this story?","[\"To entertain\", \"To inform\", \"To persuade\"]","[\"To entertain\"]",NULL,2,0,NULL,"2019-09-24 14:27:50","2019-03-20 20:03:16",101
2063,297,20,1,"What flavor is the gum?","[\"Strawberry\", \"Cinnamon\", \"Mint\", \"Mixed fruits\"]","[\"Mint\"]",NULL,2,0,NULL,"2019-09-24 14:28:18","2019-03-20 20:03:16",85
2064,297,2,1,"Which setting would NOT make sense for this passage? ","[\"A school yard\", \"A classroom\", \"A birthday party\", \"Underwater\"]","[\"Underwater\"]",NULL,2,0,NULL,"2019-09-24 14:28:53","2019-03-20 20:03:16",107
2065,297,8,1,"How many pieces of gum were in the package?","[\"5\", \"2\", \"3\", \"4\"]","[\"4\"]",NULL,2,0,NULL,"2019-09-24 14:30:05","2019-03-20 20:03:16",101
2066,311,2,1,"What was Asher's little sister dressed up as?","[\"A vampire\", \"A dancer\", \"An actor\", \"A soccer player\"]","[\"A dancer\"]",NULL,2,0,NULL,"2020-02-19 02:28:54","2019-03-20 20:03:16",88
2067,311,8,4,"Based on the end of the story, how does Asher feel about his sister's performance? Select all that apply.","[\"Excited\", \"Annoyed\", \"Bored\", \"Proud\"]","[\"Annoyed\", \"Bored\"]",NULL,2,0,NULL,"2020-02-19 02:47:23","2019-03-20 20:03:16",103
2068,311,6,1,"What kind of story is this?","[\"Nonfiction\", \"Realistic Fiction\", \"Mystery\", \"Science Fiction\"]","[\"Realistic Fiction\"]",NULL,2,0,NULL,"2020-02-19 02:29:37","2019-03-20 20:03:16",101
2069,311,20,4,"Which sounds DID work to turn on and off the lamp? Select all that apply.","[\"Clap\", \"Bang\", \"Slap\", \"Knock\", \"Stomp\", \"Snort\"]","[\"Clap\", \"Bang\", \"Knock\", \"Stomp\"]",NULL,2,0,NULL,"2020-02-19 02:48:12","2019-03-20 20:03:16",85
2070,311,54,1,"The text says Asher's sister had \"sparkly goop smeared across her cheeks.\" What does the word \"smeared\" tell the reader?","[\"The goop was very colorful.\", \"The goop was very messy.\", \"The goop was very neat.\", \"She only had on a little bit of goop.\"]","[\"The goop was very messy.\"]",NULL,2,0,NULL,"2020-02-19 02:34:03","2019-03-20 20:03:16",100
2071,311,41,4,"Which words from this story represent a sound? Select all that apply. ","[\"Lamp\", \"Bang\", \"Sometimes\", \"Knock\", \"Snort\", \"Smeared\"]","[\"Bang\", \"Knock\", \"Snort\"]",NULL,2,0,NULL,"2020-02-19 02:49:29","2019-03-20 20:03:16",86
2072,311,54,1,"Which word means the same thing as \"hot\" as in \"hot pink tutu\"?","[\"Very warm\", \"Good-looking\", \"Very bright\", \"Sunny\"]","[\"Very bright\"]",NULL,2,0,NULL,"2020-02-19 02:45:57","2019-03-20 20:03:16",100
2073,298,1,1,"What do you think Zeynep will do next?","[\"Go to the Arctic.\", \"Build a snowman.\", \"Put the box back on the shelf.\", \"Ask her dad to buy the box.\"]","[\"Ask her dad to buy the box.\"]",NULL,2,0,NULL,"2020-01-13 21:21:13","2019-03-20 20:03:16",107
2074,298,2,1,"Which color of coat would blend in best in the Arctic?","[\"Blue\", \"Red\", \"Black\", \"White\"]","[\"White\"]",NULL,2,0,NULL,"2019-09-24 14:55:50","2019-03-20 20:03:16",101
2075,298,26,1,"Who is the main character of this story?","[\"Zeynep's dad\", \"Zeynep\", \"The polar bear\", \"The narrator\"]","[\"Zeynep\"]",NULL,2,0,NULL,"2020-02-24 01:06:40","2019-03-20 20:03:16",102
2076,298,5,1,"Zeynep's feelings change: First she feels _______, then she feels _______.","[\"Happy, bored\", \"Bored, happy\", \"Bored, angry\", \"Angry, bored\"]","[\"Bored, happy\"]",NULL,2,0,NULL,"2020-02-24 01:11:11","2019-03-20 20:03:16",103
2077,298,8,1,"Zeynep thinks she is going to ______ the contest.","[\"Win\", \"Lose\"]","[\"Win\"]",NULL,2,0,NULL,"2020-01-13 21:18:01","2019-03-20 20:03:16",103
2078,298,10,4,"Which parts of the story does the title give clues about? Select all that apply.","[\"The main character\", \"The genre\", \"The plot\", \"The setting\"]","[\"The main character\", \"The plot\"]",NULL,2,0,NULL,"2019-09-24 15:18:31","2019-03-20 20:03:16",107
2079,298,11,4,"Which question(s) CANNOT be answered by reading this passage? Select all that apply.","[\"Will Zeynep win the contest?\", \"Does Zeynep like going to the supermarket?\", \"Where will the contest winner get to go?\", \"How does somebody win the contest?\"]","[\"Will Zeynep win the contest?\", \"How does somebody win the contest?\"]",NULL,2,0,NULL,"2019-09-24 15:19:07","2019-03-20 20:03:16",101
2080,298,14,1,"This passage was written to:","[\"Inform\", \"Persuade\", \"Entertain\"]","[\"Entertain\"]",NULL,2,0,NULL,"2019-09-24 15:15:05","2019-03-20 20:03:16",101
2081,298,14,1,"How is the reader meant to feel towards Zeynep?","[\"Disgusted\", \"Excited\", \"Angry\", \"Disappointed\"]","[\"Excited\"]",NULL,2,0,NULL,"2019-09-24 15:16:35","2019-03-20 20:03:16",101
2082,298,20,1,"Which animal is on the box?","[\"A panda bear\", \"A grizzly bear\", \"A polar bear\", \"A black bear\"]","[\"A polar bear\"]",NULL,2,0,NULL,"2019-09-24 15:17:13","2019-03-20 20:03:16",85
2083,298,8,1,"Reread this sentence: \"She saw herself building an igloo.\" What does the word \"saw\" mean, as it is used here? ","[\"Watched\", \"Imagined\", \"Pretended\"]","[\"Imagined\"]",NULL,2,0,NULL,"2019-09-24 15:17:50","2019-03-20 20:03:16",4
2084,300,3,1,"Is the family in this passage about to land on a new planet?","[\"Yes\", \"No\"]","[\"Yes\"]",NULL,2,0,NULL,"2019-09-24 15:51:59","2019-03-20 20:03:16",102
2085,300,8,1,"Where does this story take place?","[\"A boat\", \"A car\", \"A spaceship\", \"A bus\"]","[\"A spaceship\"]",NULL,2,0,NULL,"2020-01-13 21:13:21","2019-03-20 20:03:16",107
2086,300,5,1,"How does Gina feel towards Todd?","[\"Entertained\", \"Sad\", \"Playful\", \"Annoyed\"]","[\"Annoyed\"]",NULL,2,0,NULL,"2019-09-24 15:54:07","2019-03-20 20:03:16",103
2087,300,13,1,"Reread this sentence: \"Todd floated by with an evil grin.\" Which word is a synonym for \"evil\" as it is used here?","[\"Mischievous\", \"Crooked\", \"Hurtful\", \"Scary\"]","[\"Mischievous\"]",NULL,2,0,NULL,"2019-09-24 15:55:17","2019-03-20 20:03:16",100
2088,300,8,1,"Gina and Todd are probably _________.","[\"Neighbors\", \"Mother and son\", \"Friends\", \"Brother and sister\"]","[\"Brother and sister\"]",NULL,2,0,NULL,"2020-01-13 21:10:56","2019-03-20 20:03:16",107
2089,300,11,1,"What question would a reader most likely ask themselves after reading this passage?","[\"Which planet are they landing on?\", \"Why are Gina and Todd fighting with each other?\", \"Why are they going to Mars?\", \"What is the relationship between the characters?\"]","[\"Why are they going to Mars?\"]",NULL,2,0,NULL,"2019-09-24 15:56:53","2019-03-20 20:03:16",101
2090,300,16,1,"Which of the following lines of dialogue include a slang term for \"annoying\"?","[\"\\\"Ugh. But Todd is bugging me!”\", \"\\\"Hey dork!\\\"\", \"\\\"You know why they call it ‘space’?\\\"\", \"We are not showing up to a new planet in this state!”\"]","[\"\\\"Ugh. But Todd is bugging me!”\"]",NULL,2,0,NULL,"2019-09-24 15:57:31","2019-03-20 20:03:16",106
2091,300,20,1,"Where is the spaceship going to land?","[\"Jupiter\", \"Earth\", \"Uranus\", \"Mars\"]","[\"Mars\"]",NULL,2,0,NULL,"2020-01-13 21:09:41","2019-03-20 20:03:16",85
2092,303,50,1,"Where does this story take place?","[\"A beach\", \"A forest\", \"A desert\", \"A garden\"]","[\"A desert\"]",NULL,3,0,NULL,"2020-02-19 22:55:13","2019-03-20 20:03:16",1
2093,303,13,1,"Reread this sentence: \"Linda had all the gear she needed.\" What does the word \"gear\" mean here?","[\"Snacks\", \"Animals\", \"Supplies\", \"Cogs\"]","[\"Supplies\"]",NULL,3,0,NULL,"2020-02-19 23:15:46","2019-03-20 20:03:16",4
2094,303,20,1,"Which word completes this sentence from the story: \"She had a pair of ____.\"?","[\"Glasses\", \"Shoes\", \"Socks\", \"Binoculars\"]","[\"Binoculars\"]",NULL,3,0,NULL,"2020-02-19 23:17:41","2019-03-20 20:03:16",1
2095,303,8,1,"True or False: Linda is excited to communicate with aliens.","[\"True\", \"False\"]","[\"True\"]",NULL,3,0,NULL,"2020-02-19 23:18:15","2019-03-20 20:03:16",3
2096,303,3,1,"Which of the following is the main idea of this passage?","[\"Linda likes listening to the radio.\", \"Linda is wearing a hat.\", \"Linda is waiting for aliens.\"]","[\"Linda is waiting for aliens.\"]",NULL,3,0,NULL,"2020-02-19 23:19:40","2019-03-20 20:03:16",2
2097,303,20,1,"What color is the ground in this story?","[\"Yellowish green\", \"Reddish brown\", \"Blackish brown\", \"Greenish blue\"]","[\"Reddish brown\"]",NULL,3,0,NULL,"2020-02-19 23:21:43","2019-03-20 20:03:16",1
2098,301,49,3,"Put the events of the story into the correct order: 
","[\"Floof jumps up and her whole body freezes.\", \"Floof purrs happily.\", \"Floof is activated.\", \"Rashid pushes the button.\"]","[\"Floof purrs happily.\", \"Rashid pushes the button.\", \"Floof jumps up and her whole body freezes.\", \"Floof is activated.\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
2099,301,5,1,"Rashid's emotions evolve in the passage from ________ at the beginning to ________ at the end.
","[\"Joy, anger\", \"Anger, fear\", \"Happiness, curiosity\", \"Curiosity, anger\"]","[\"Happiness, curiosity\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
2100,301,6,1,"This text is an example of which genre?","[\"Sci-Fi\", \"Mystery\", \"Realistic Fiction\", \"Fantasy\"]","[\"Sci-Fi\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2101,301,8,1,"True or false: The parents knew that the cat was a robot.","[\"True\", \"False\"]","[\"True\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
2102,301,10,1,"The title provides readers with a clue about:","[\"The main character\", \"The setting\", \"The theme\", \"None of the above\"]","[\"None of the above\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
2103,301,11,1,"Which one of the following questions could NOT be answered by reading the passage?","[\"Did Rashid know that his cat was a robot?\", \"What is Rashid's cat's name?\", \"Where did the cat come from?\", \"Is Floof a robot?\"]","[\"Where did the cat come from?\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
2104,301,14,1,"Why did the author most likely write this story?","[\"To inform\", \"To persuade\", \"To entertain\"]","[\"To entertain\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
2105,301,15,4,"What emotions do you think the author is trying to get readers to feel while reading this passage? Select all that apply.","[\"Boredom\", \"Surprise\", \"Curiosity\", \"Anger\"]","[\"Surprise\", \"Curiosity\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
2106,301,20,1,"What color is Floof?","[\"Brown\", \"Gray\", \"Black\", \"White\"]","[\"Gray\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
